id,question,optionA,optionB,optionC,scoreA,scoreB,scoreC
1,親の要介護度はどのくらいですか？,要支援1〜2（比較的元気）,要介護1〜2（部分的にサポートが必要）,要介護3以上（常時介護が必要）,A,B,C
2,親に認知症の症状はありますか？,ない・ごく軽度,物忘れがある程度,徘徊・暴言など中〜重度の症状がある,A,B,C
3,介護費用に使える月額の目安は？,5万円未満,5〜15万円,15万円以上,A,B,C
4,親の希望に最も近いのは？,できるだけ家にいたい,施設でも構わない,本人に判断力がなく家族で決める必要がある,A,B,C
5,医療的なケア（胃ろう・吸引など）が必要ですか？,今は不要,軽度の処置が必要,常時医療ケアが必要,A,B,C
6,入居までの希望期間は？,急いでいる（1〜3ヶ月以内）,半年以内,急がない・情報収集段階,C,B,A
7,施設に求める優先事項は？,費用の安さ,スタッフの質・ケアの充実,立地（家から近い）,A,B,C
8,入居一時金（初期費用）は出せますか？,出せない（0円希望）,少し出せる（100万円未満）,ある程度出せる（100万円以上）,A,B,C
9,家族の面会頻度の希望は？,毎日でも行きたい,週1〜2回程度,月数回でも構わない,C,B,A
10,親が今困っていることで最も深刻なのは？,日常生活動作（食事・入浴・排泄）,認知症による問題行動,孤独・精神的な不安,B,C,A
