id,question,optionA,optionB,optionC,scoreA,scoreB,scoreC
1,親の収入（年金など）は月額どのくらいですか？,15万円以上,8〜15万円未満,8万円未満,A,B,C
2,親の預貯金・資産はどのくらいありますか？,1000万円以上,300〜1000万円未満,300万円未満,A,B,C
3,親が住んでいる不動産（自宅）はありますか？,持ち家がある（ローンなし）,持ち家だがローンが残っている,賃貸,A,B,C
4,要介護度はどのくらいですか？,要支援1〜2,要介護1〜2,要介護3以上,A,B,C
5,現在、介護保険サービスをどのくらい利用していますか？,上限まで使っている,一部だけ使っている,まったく使っていない,A,B,C
6,家族からの金銭的サポートは期待できますか？,兄弟・親族で費用を分担できる,少し補助できる,ほぼ自分（または親だけ）で負担する,A,B,C
7,施設入居を検討している場合、月額の上限目安は？,15万円以上出せる,8〜15万円程度,8万円未満に抑えたい,A,B,C
8,介護のために自分が仕事を辞める可能性はありますか？,ない（仕事を続ける）,少し可能性がある,すでに辞めた・辞める予定,A,B,C
9,相続や財産管理について家族で話し合ったことはありますか？,ある程度話し合っている,少し話したことがある,まったくない,A,B,C
10,今後、介護費用についての不安は？,費用は何とかなりそう,少し不安がある,かなり不安・どうしたらいいかわからない,A,B,C
